map_name,seed,solved,approximate_solution,elapsed_s,path_length,state_count
empty,1,True,False,0.028684,14.789268,100
empty,4,True,False,0.021726,11.953679,80
empty,7,True,False,0.021149,11.603100,79
empty,10,True,False,0.022522,12.420860,84
empty,13,True,False,0.021308,11.828848,80
circle_field,1,True,False,0.137601,17.808044,120
circle_field,4,True,False,0.037752,17.120217,116
circle_field,7,True,False,0.042833,18.549730,128
circle_field,10,True,False,0.027464,12.514536,84
circle_field,13,True,False,0.038673,16.806245,116
rectangle_field,1,False,False,0.031147,0.000000,0
rectangle_field,4,True,False,0.145588,26.627135,181
rectangle_field,7,True,False,0.082291,17.125228,116
rectangle_field,10,True,False,0.046582,16.921284,114
rectangle_field,13,True,False,0.076886,20.208486,135
mixed_shapes,1,True,False,0.031820,16.365458,110
mixed_shapes,4,True,False,0.154403,29.781298,207
mixed_shapes,7,True,False,0.041105,19.090268,131
mixed_shapes,10,True,False,0.087537,15.725222,106
mixed_shapes,13,True,False,0.040588,17.652764,121
narrow_passage,1,True,False,0.197762,20.179216,136
narrow_passage,4,True,False,0.178558,24.676033,167
narrow_passage,7,True,False,0.203862,23.677090,165
narrow_passage,10,True,False,0.065563,23.595073,160
narrow_passage,13,True,False,0.094026,22.680709,155
maze,1,True,False,0.223944,17.834001,121
maze,4,True,False,0.596525,25.310739,178
maze,7,True,False,0.797445,23.827591,166
maze,10,True,False,0.885546,41.395006,286
maze,13,True,False,0.344591,29.371787,204
parking_lot,1,False,True,5.000371,0.000000,0
parking_lot,4,False,True,5.000734,0.000000,0
parking_lot,7,False,True,5.000195,0.000000,0
parking_lot,10,False,True,5.000649,0.000000,0
parking_lot,13,False,True,5.001553,0.000000,0
cluttered_random,1,False,False,5.005186,0.000000,0
cluttered_random,4,False,False,5.007034,0.000000,0
cluttered_random,7,False,False,5.002125,0.000000,0
cluttered_random,10,False,False,5.000465,0.000000,0
cluttered_random,13,False,False,5.009237,0.000000,0
blocked,1,False,True,5.000316,0.000000,0
blocked,4,False,True,5.000320,0.000000,0
blocked,7,False,True,5.002702,0.000000,0
blocked,10,False,True,5.000450,0.000000,0
blocked,13,False,True,5.001176,0.000000,0
